id,name,alt,path
765,campaign-who-are-we-coe-amanda,Who are we? We RU,Images/900x675-infoboxes/campaign-who-are-we-coe-amanda.jpg
766,campaign-who-are-we-female-white-shirt,College of Business Info Session,Images/900x675-infoboxes/campaign-who-are-we-female-white-shirt.jpg
767,campaign-who-are-we-lydia,Transfer to Roosevelt!,Images/900x675-infoboxes/campaign-who-are-we-lydia.jpg
768,campaign-who-are-we,"Graduate Programs Fair - March, 13, 2018",Images/900x675-infoboxes/campaign-who-are-we.jpg
769,campaign-whoarewe-justin,Graduate Program Fair,Images/900x675-infoboxes/campaign-whoarewe-justin.jpg
770,campaigns-we-ru-CCPA-emily,"Emily, CCPA student",Images/900x675-infoboxes/campaigns-we-ru-CCPA-emily.jpg
771,cas-leadership,Leadership of College of Arts and Sciences standing together as a group,Images/900x675-infoboxes/cas-leadership.png
772,celebrity-martin-luther-king-crowd-historical,Historical image of Dr. Martin Luther King Jr. waiting to give a speech,Images/900x675-infoboxes/celebrity-martin-luther-king-crowd-historical.jpg
773,cityscape-buildings-WB-AUD-from-buckingham-fountain-sunset,"Chicago skyline with RU, Willis Tower, and Buckingham Fountain in Summer",Images/900x675-infoboxes/cityscape-buildings-WB-AUD-from-buckingham-fountain-sunset.jpg
774,cityscape-feet-walking-El-stairs,El steps - Living in Chicago - Getting Around,Images/900x675-infoboxes/cityscape-feet-walking-El-stairs.jpg
775,cityscape-walking-daley-park,Chicago Summer Skyline,Images/900x675-infoboxes/cityscape-walking-daley-park.jpg
776,faculty-CAS-portrait-bonnie-gunzenhauser,Bonnie Gunzenhauser,Images/900x675-infoboxes/faculty-CAS-portrait-bonnie-gunzenhauser.jpg
777,faculty-CAS-public-administration-office-Ralph-Martire,Professor Ralph Martire,Images/900x675-infoboxes/faculty-CAS-public-administration-office-Ralph-Martire.jpg
778,faculty-HCB-standing-office,Heller College of Business Faculty,Images/900x675-infoboxes/faculty-HCB-standing-office.jpg
779,faculty-HCB-teaching-lecturing-classroom-carol-brown,Carol Brown teaching in a classroom,Images/900x675-infoboxes/faculty-HCB-teaching-lecturing-classroom-carol-brown.jpg
780,gage-gallery-past-exhibits,collage of past exhibit photos,Images/900x675-infoboxes/gage-gallery-past-exhibits.jpg
781,group-of-students-admitted-students,group of students,Images/900x675-infoboxes/group-of-students-admitted-students.jpg
782,Group-of-Students-in-Lab-coats-AcademicAndCreative-Pharm,Group of Students in Lab coats- AcademicAndCreative - Pharm,Images/900x675-infoboxes/Group-of-Students-in-Lab-coats-AcademicAndCreative-Pharm.jpg
783,Group-of-students-in-office-attire-Real-world-Experience-CCCF,Group of students in office attire -Real world Experience - CCCF,Images/900x675-infoboxes/Group-of-students-in-office-attire-Real-world-Experience-CCCF.jpg
784,Group-of-students-on-graduation-day,Group of students on graduation day,Images/900x675-infoboxes/Group-of-students-on-graduation-day.jpg
